央视节目,#genre#
CCTV-1 综合,https://live3.itv.tv/hz.php?id=cctv1$HNDX
CCTV-2 财经,https://live3.itv.tv/hz.php?id=cctv2$HNDX
CCTV-3 综艺,https://live3.itv.tv/hz.php?id=cctv3$HNDX
CCTV-4 中文国际,https://live3.itv.tv/hz.php?id=cctv4$HNDX
CCTV-5 体育,https://live3.itv.tv/hz.php?id=cctv5$HNDX
CCTV-6 电影,https://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8$官方源
CCTV-6 电影,https://live3.itv.tv/hz.php?id=cctv6$HNDX
CCTV-7 国防军事,https://live3.itv.tv/hz.php?id=cctv7$HNDX
CCTV-8 电视剧,https://live3.itv.tv/hz.php?id=cctv8$HNDX
CCTV-9 纪录,https://live3.itv.tv/hz.php?id=cctv9$HNDX
CCTV-10 科教,https://live3.itv.tv/hz.php?id=cctv10$HNDX
CCTV-11 戏曲,https://live3.itv.tv/hz.php?id=cctv11$HNDX
CCTV-12 社会与法,https://live3.itv.tv/hz.php?id=cctv12$HNDX
CCTV-13 新闻,https://live3.itv.tv/hz.php?id=cctv13$HNDX
CCTV-14 少儿,https://live3.itv.tv/hz.php?id=cctv14$HNDX
CCTV-15 音乐,https://live3.itv.tv/hz.php?id=cctv15$HNDX
CCTV-16 奥林匹克,http://cmcc.itv.tv/PLTV/88888888/224/3221226100/index.m3u8$YD
CCTV-17 农业农村,https://live3.itv.tv/hz.php?id=cctv17$HNDX
CCTV-5+ 体育赛事,https://live3.itv.tv/hz.php?id=cctv5p$HNDX
CCTV-4K 超高清,https://live3.itv.tv/hz.php?id=cctv4k$HNDX
CCTV-1 综合,http://cm-wshls.homecdn.com/live/61b94.m3u8
CCTV-1 综合,http://cmcc.itv.tv/PLTV/88888888/224/3221226016/index.m3u8$YD
CCTV-2 财经,http://cmcc.itv.tv/PLTV/88888888/224/3221225588/index.m3u8$YD
CCTV-3 综艺,http://cmcc.itv.tv/PLTV/88888888/224/3221226021/index.m3u8$YD
CCTV-4 中文国际,http://cmcc.itv.tv/PLTV/88888888/224/3221226428/index.m3u8$YD
CCTV-5 体育,http://cmcc.itv.tv/PLTV/88888888/224/3221226019/index.m3u8$YD
CCTV-6 电影,http://cmcc.itv.tv/PLTV/88888888/224/3221226010/index.m3u8$YD
CCTV-7 国防军事,http://cmcc.itv.tv/PLTV/88888888/224/3221225733/index.m3u8$YD
CCTV-8 电视剧,http://cmcc.itv.tv/PLTV/88888888/224/3221226008/index.m3u8$YD
CCTV-9 纪录,http://cmcc.itv.tv/PLTV/88888888/224/3221225734/index.m3u8$YD
CCTV-10 科教,http://cmcc.itv.tv/PLTV/88888888/224/3221225730/index.m3u8$YD
CCTV-11 戏曲,http://cmcc.itv.tv/PLTV/88888888/224/3221225597/index.m3u8$YD
CCTV-12 社会与法,http://cmcc.itv.tv/PLTV/88888888/224/3221225731/index.m3u8$YD
CCTV-13 新闻,http://cmcc.itv.tv/PLTV/88888888/224/3221226011/index.m3u8$YD
CCTV-14 少儿,http://cmcc.itv.tv/PLTV/88888888/224/3221225732/index.m3u8$YD
CCTV-15 音乐,http://cmcc.itv.tv/PLTV/88888888/224/3221225601/index.m3u8$YD
CCTV-16 奥林匹克,http://cmcc.itv.tv/PLTV/88888888/224/3221226100/index.m3u8$YD
CCTV-17 农业农村,http://cmcc.itv.tv/PLTV/88888888/224/3221225765/index.m3u8$YD
CCTV-5+ 体育赛事,http://cmcc.itv.tv/PLTV/88888888/224/3221225603/index.m3u8$YD
