央视节目,#genre#
CCTV-1 综合,http://ipipip/rtp/226.0.2.153:9136$山西联通HD
CCTV-2 财经,http://ipipip/rtp/226.0.2.154:9144$山西联通HD
CCTV-3 综艺,http://ipipip/rtp/226.0.2.208:9576$山西联通HD
CCTV-4 中文国际,http://ipipip/rtp/226.0.2.156:9160$山西联通HD
CCTV-5 体育,http://ipipip/rtp/226.0.2.209:9584$山西联通HD
CCTV-6 电影,http://ipipip/rtp/226.0.2.210:9592$山西联通HD
CCTV-7 国防军事,http://ipipip/rtp/226.0.2.159:9184$山西联通HD
CCTV-8 电视剧,http://ipipip/rtp/226.0.2.211:9600$山西联通HD
CCTV-9 纪录,http://ipipip/rtp/226.0.2.161:9200$山西联通HD
CCTV-10 科教,http://ipipip/rtp/226.0.2.162:9208$山西联通HD
CCTV-11 戏曲,http://ipipip/rtp/226.0.2.28:8136$山西联通
CCTV-12 社会与法,http://ipipip/rtp/226.0.2.164:9224$山西联通HD
CCTV-13 新闻,http://ipipip/rtp/226.0.2.165:9232$山西联通HD
CCTV-14 少儿,http://ipipip/rtp/226.0.2.166:9240$山西联通HD
CCTV-15 音乐,http://ipipip/rtp/226.0.2.32:8168$山西联通
CCTV-16 奥林匹克,http://ipipip/rtp/226.0.2.169:9264$山西联通HD
CCTV-17 农业农村,http://ipipip/rtp/226.0.2.170:9272$山西联通HD
CCTV-5+ 体育赛事,http://ipipip/rtp/226.0.2.168:9256$山西联通HD
CCTV-电视指南,http://ipipip/rtp/226.0.2.218:9656$山西联通HD
CCTV-怀旧剧场,http://ipipip/rtp/226.0.2.224:9704$山西联通HD
CCTV-第一剧场,http://ipipip/rtp/226.0.2.221:9680$山西联通HD
CCTV-世界地理,http://ipipip/rtp/226.0.2.222:9688$山西联通HD
CCTV-兵器科技,http://ipipip/rtp/226.0.2.223:9696$山西联通HD
CCTV-风云足球,http://ipipip/rtp/226.0.2.225:9712$山西联通HD
CCTV-风云音乐,http://ipipip/rtp/226.0.2.220:9672$山西联通HD
CCTV-风云剧场,http://ipipip/rtp/226.0.2.227:9728$山西联通HD
CCTV-女性时尚,http://ipipip/rtp/226.0.2.226:9720$山西联通HD
CCTV-央视文化精品,http://ipipip/rtp/226.0.2.219:9664$山西联通HD
CCTV-央视台球,http://ipipip/rtp/226.0.2.216:9640$山西联通HD
CCTV-高尔夫网球,http://ipipip/rtp/226.0.2.217:9648$山西联通HD

卫视节目,#genre#


少儿节目,#genre#

电影节目,#genre#

数字节目,#genre#
